price,vehicleType,gearbox,powerPS,model,kilometer,fuelType,brand,notRepairedDamage,Age
5000,bus,manual,158,andere,150000,lpg,peugeot,no,16.25
8500,limousine,automatic,286,7er,150000,petrol,bmw,no,23.5
8990,limousine,manual,102,golf,70000,petrol,volkswagen,no,11.58
4350,small car,automatic,71,fortwo,70000,petrol,smart,no,13.5
7900,bus,automatic,150,voyager,150000,diesel,chrysler,,14.33
300,limousine,manual,90,golf,150000,petrol,volkswagen,,25.67
1990,limousine,manual,90,golf,150000,diesel,volkswagen,no,23
590,bus,manual,90,megane,150000,petrol,renault,no,23.58
999,,manual,90,,150000,petrol,volkswagen,no,3.33
5299,small car,automatic,71,fortwo,50000,petrol,smart,no,10.75
1350,limousine,manual,101,a3,150000,petrol,audi,no,21.92
3999,small car,manual,75,clio,150000,petrol,renault,,13.75
18900,coupe,automatic,203,,80000,petrol,sonstige_autos,no,38.5
350,kombi,manual,101,vectra,150000,petrol,opel,no,21.42
5500,coupe,manual,205,scirocco,150000,petrol,volkswagen,no,30.5
300,bus,manual,150,3er,150000,petrol,bmw,,25
4150,suv,manual,124,andere,150000,lpg,mazda,no,16.17
3500,kombi,manual,131,a4,150000,diesel,audi,,17.42
41500,cabrio,manual,320,911,150000,petrol,porsche,no,16.33
25450,cabrio,manual,184,cooper,10000,petrol,mini,no,5.08
7999,bus,manual,120,,150000,diesel,peugeot,no,10.17
48500,limousine,automatic,306,5er,30000,petrol,bmw,no,7
777,small car,manual,54,polo,125000,petrol,volkswagen,no,28.17
5250,small car,manual,110,cooper,150000,diesel,mini,yes,13.58
4999,kombi,automatic,204,e_klasse,150000,diesel,mercedes_benz,no,16.83
2850,kombi,automatic,218,c_klasse,150000,petrol,mercedes_benz,no,18.58
4800,kombi,manual,140,a3,150000,diesel,audi,no,14.67
2600,kombi,automatic,193,5er,150000,diesel,bmw,,20.5
7500,kombi,manual,131,mondeo,150000,diesel,ford,no,13.92
13800,bus,manual,140,altea,90000,diesel,seat,no,8.17
2850,limousine,manual,75,golf,125000,petrol,volkswagen,no,18.17
1450,kombi,automatic,122,c_klasse,150000,petrol,mercedes_benz,no,21.5
3500,cabrio,manual,150,golf,150000,petrol,volkswagen,no,21.08
3200,kombi,manual,131,,150000,,volkswagen,no,17.58
11900,small car,manual,60,polo,20000,petrol,volkswagen,,6.58
11500,small car,manual,86,a1,60000,petrol,audi,no,9.75
900,small car,manual,43,twingo,150000,petrol,renault,no,22.58
1000,small car,manual,75,andere,150000,petrol,toyota,no,25.25
3499,limousine,manual,95,a_klasse,150000,petrol,mercedes_benz,no,12.67
1099,limousine,manual,122,c_klasse,150000,petrol,mercedes_benz,no,22.17
56000,coupe,automatic,435,cl,60000,petrol,mercedes_benz,no,8.17
5999,kombi,manual,150,3_reihe,125000,petrol,peugeot,no,12.67
